Organism,Optimal pH,Optimal Temperature,Optimal Pressure,Optimal Salinity
Methanopyrus kandleri 116,6.45,105.0,40,0.03
"Pyrolobus fumarii 1A, DSM 11204",5.5,106.0,25,0.017
Pyrococcus kukulkanii NCB100,7.0,105.0,40-50 ,0.0275
Methanopyrus kandleri AV19,6.5,98.0,20-30,0.02
Pyrococcus endeavori,7.0,98.0,22,0.028
Pyrodictium abyssi AV2,5.5,97.0,.2-20,0.02
Pyrococcus yayanosii CH1,8.25,98.0,52,0.035
Pyrococcus glycovorans AL585,7.5,95.0,10,0.03
Pyrococcus furiosus Vc 1 DSM 3638,7.0,100.0,10,0.0275
Pyrococcus horikoshii ,7.0,98.0,1,0.024
Pyrococcus abyssi GE5,6.8,96.0,20,0.03
Thermococcus peptonophilus OG-1,6.0,87.5,30-45,0.03
Thermococcus eurythermalis A501,7.0,85.0, .1-30 ,0.025
"Thermococcus barophilus MP, DSM 11836",7.0,85.0,40,0.025
Thermococcus henrietii,6.75,82.5,30,0.02
Thermococcus aggregans TY,7.0,88.0,20,0.025
Thermococcus celer,5.8,88.0,22,0.0038
Pyrococcus chitonophagus DSM 10152,6.7,85.0,23,0.02
"Methanotorris igneus Kol5, DSM 5666",5.7,88.0,5,0.018
Thermococcus paralvinellae ES1,8.0,82.0,22,0.03
Thermococcus guaymasensis DSM 11113,7.2,88.0,20-35,0.03
Palaeococcus pacificus DY20341,7.0,80.0,30,0.03
Thermococcus camini IRI35c,7.25,77.5,20,0.02
Thermococcus piezophilus CDGS,6.0,75.0,50,0.03
Palaeococcus ferrophilus,6.0,83.0,30,0.047
"Archaeoglobus fulgidus VC-16, DSM 4304",5.5,80.0,20,0.022
Archaeoglobus fulgidus DSM 8774,6.6,76.0,20,0.0175
"Thermaerobacter marianensis 7p75a, DSM 12885",7.25,75.0,0.5,0.02
Thermosipho japonicus,7.4,72.0,20,0.04
Methanothermobacter wolfeii SIV6,7.2,60.0,80,0.01
Methanococcus thermolithotrophicus,7.0,65.0,50,0.04
Marinitoga piezophila KA3,6.0,65.0,40,0.03
Methanothrix thermoacetophila CALS-1 ,6.5,60.0,200,0
